"domain";"question";"grounded_response"
"history";"What was the French Revolution?";"The French Revolution (1789-1799) was a period of radical political and social upheaval in France. It began with the storming of the Bastille and led to the abolition of the monarchy, the establishment of a republic, and the Declaration of the Rights of Man. It was driven by inequality, financial crisis, and Enlightenment ideas about liberty and democracy."
"history";"What was the Silk Road?";"The Silk Road was a network of ancient trade routes connecting China and the Far East with the Middle East and Europe. Active from approximately the 2nd century BCE to the 15th century, it facilitated the exchange of goods like silk, spices, and precious metals, as well as ideas, religions, and technologies between civilizations."
"history";"What was the Berlin Wall?";"The Berlin Wall was a guarded concrete barrier that physically and ideologically divided Berlin from 1961 to 1989. Built by East Germany to prevent its citizens from fleeing to the West, it became a symbol of the Iron Curtain separating Western and Eastern Europe during the Cold War. Its fall on November 9, 1989, symbolized the end of communist rule in Eastern Europe."
"history";"What was the Manhattan Project?";"The Manhattan Project was a secret U.S. government research program during World War II that developed the first nuclear weapons. Led by physicist J. Robert Oppenheimer, it involved thousands of scientists and workers at sites including Los Alamos, Oak Ridge, and Hanford. It resulted in the atomic bombs dropped on Hiroshima and Nagasaki in August 1945."
"history";"What was the Treaty of Versailles?";"The Treaty of Versailles was the peace agreement signed in 1919 that officially ended World War I between Germany and the Allied Powers. It imposed heavy reparations on Germany, required it to accept responsibility for the war, and mandated territorial losses. Many historians believe its punitive terms contributed to the economic instability and resentment that led to World War II."
"history";"Who was Genghis Khan?";"Genghis Khan, born Temüjin around 1162, was the founder and first ruler of the Mongol Empire, which became the largest contiguous land empire in history. He united the Mongol tribes and conquered vast territories across Asia and Eastern Europe. He was also known for establishing trade routes, religious tolerance, and a legal code called the Yasa."
"history";"What was the Reformation?";"The Reformation was a 16th-century religious movement in which Martin Luther, John Calvin, and others challenged the practices and doctrines of the Roman Catholic Church. Luther's posting of his 95 Theses in 1517 is often cited as the starting point. The movement led to the establishment of Protestant churches and fundamentally reshaped European politics and society."
"history";"What was the Space Race?";"The Space Race was a competition between the United States and the Soviet Union during the Cold War to achieve milestones in space exploration. The Soviet Union launched Sputnik, the first satellite, in 1957, and sent the first human, Yuri Gagarin, to space in 1961. The U.S. achieved the first Moon landing with Apollo 11 in 1969. It drove massive advances in technology."
"history";"What was the Enlightenment?";"The Enlightenment was an intellectual and philosophical movement that dominated Europe in the 17th and 18th centuries. It emphasized reason, individualism, and skepticism of traditional authority. Key thinkers included John Locke, Voltaire, Rousseau, and Immanuel Kant. It influenced democratic revolutions and the development of modern science and secular governance."
"geography";"What is the longest river in the world?";"The Nile River in Africa is generally considered the longest river in the world, stretching approximately 6,650 kilometers. However, some measurements suggest the Amazon River in South America may be longer. The Nile flows northward through eleven countries before emptying into the Mediterranean Sea."
"geography";"What is the largest desert in the world?";"The largest desert in the world is Antarctica, which is classified as a polar desert with an area of about 14.2 million square kilometers. The largest hot desert is the Sahara in Africa, covering approximately 9.2 million square kilometers. Deserts are defined by low precipitation, not temperature."
"geography";"What is the Ring of Fire?";"The Ring of Fire is a horseshoe-shaped zone around the edges of the Pacific Ocean where a large number of earthquakes and volcanic eruptions occur. It stretches approximately 40,000 kilometers and is associated with tectonic plate boundaries. About 75% of the world's active volcanoes and 90% of earthquakes occur along this ring."
"geography";"What is the difference between latitude and longitude?";"Latitude lines run east-west and measure distance north or south of the equator, ranging from 0° at the equator to 90° at the poles. Longitude lines run north-south and measure distance east or west of the Prime Meridian, ranging from 0° to 180°. Together, they form a coordinate system for identifying any location on Earth."
"geography";"What causes earthquakes?";"Earthquakes are caused by the sudden release of energy in the Earth's crust, usually due to the movement of tectonic plates along fault lines. When stress accumulates along plate boundaries and exceeds the friction holding the rocks together, the plates slip suddenly, sending seismic waves through the ground that we feel as shaking."
"geography";"What is the Amazon Rainforest?";"The Amazon Rainforest is the world's largest tropical rainforest, covering approximately 5.5 million square kilometers across nine South American countries, with the majority in Brazil. It is home to an estimated 10% of all species on Earth and plays a critical role in global climate regulation by absorbing carbon dioxide and producing oxygen."
"geography";"What is the Mariana Trench?";"The Mariana Trench is the deepest known point in the ocean, located in the western Pacific Ocean east of the Mariana Islands. Its deepest point, Challenger Deep, reaches approximately 10,994 meters below sea level. It was formed by the subduction of the Pacific Plate beneath the Mariana Plate."
"geography";"What is a monsoon?";"A monsoon is a seasonal change in the direction of prevailing winds, typically bringing heavy rainfall. Monsoons are caused by temperature differences between land and ocean, which shift wind patterns. The South Asian monsoon is the most well-known, bringing intense rains to the Indian subcontinent from June to September, which is crucial for agriculture."
"geography";"What are the Great Lakes?";"The Great Lakes are a group of five large freshwater lakes in North America along the U.S.-Canada border: Superior, Michigan, Huron, Erie, and Ontario. Together they contain about 21% of the world's surface freshwater. Lake Superior is the largest by surface area, and the lakes were formed by glacial activity during the last ice age."
"geography";"What is the continental shelf?";"The continental shelf is the extended perimeter of a continent that lies underwater before dropping off steeply to the ocean floor. It is relatively shallow, typically less than 200 meters deep, and extends from the shoreline to the shelf break. Continental shelves are rich in marine life and natural resources including oil and natural gas."
"law";"What is the difference between civil law and criminal law?";"Civil law deals with disputes between individuals or organizations, typically involving claims for compensation or specific performance. Criminal law deals with offenses against the state or society, where the government prosecutes individuals for violating statutes. Civil cases require a preponderance of evidence, while criminal cases require proof beyond a reasonable doubt."
"law";"What is habeas corpus?";"Habeas corpus is a legal principle that protects individuals from unlawful detention by requiring the government to justify holding a person in custody before a court. A habeas corpus petition asks a judge to determine whether the imprisonment is lawful. It is considered a fundamental safeguard of personal liberty in common law systems."
"law";"What is the difference between a misdemeanor and a felony?";"A misdemeanor is a less serious criminal offense typically punishable by fines, probation, or up to one year in a local jail. A felony is a more serious crime punishable by imprisonment of more than one year in a state or federal prison. Examples of misdemeanors include petty theft and minor assault, while felonies include murder, robbery, and arson."
"law";"What is intellectual property?";"Intellectual property (IP) refers to creations of the mind that are protected by law, including inventions, literary and artistic works, designs, symbols, names, and images used in commerce. The main types of IP protection are patents, copyrights, trademarks, and trade secrets. IP rights allow creators to benefit from their work for a specified period."
"law";"What is due process?";"Due process is a constitutional guarantee that the government must respect all legal rights owed to a person. It ensures fair treatment through the judicial system, including the right to notice, a fair hearing, and an impartial decision-maker. The Fifth and Fourteenth Amendments to the U.S. Constitution protect due process rights at the federal and state levels."
"law";"What is a class action lawsuit?";"A class action lawsuit is a legal action filed by one or more plaintiffs on behalf of a larger group of people who have suffered similar harm or injury from the same defendant. This allows many people with similar claims to combine their cases, making litigation more efficient and cost-effective. Settlements or judgments typically apply to all class members."
"law";"What is the difference between common law and statutory law?";"Common law is law developed through court decisions and judicial precedent over time, where judges interpret and apply existing principles to new cases. Statutory law is law enacted by a legislative body, such as Congress or a state legislature, in the form of written statutes. Both coexist in most legal systems, with statutory law taking precedence when they conflict."
"law";"What is the Fourth Amendment?";"The Fourth Amendment to the U.S. Constitution protects individuals from unreasonable searches and seizures by the government. It requires law enforcement to obtain a warrant based on probable cause before conducting most searches. This amendment is fundamental to privacy rights and has been interpreted to cover various forms of surveillance and data collection."
"law";"What is tort law?";"Tort law is a body of law that addresses civil wrongs that cause harm or loss to others. When someone's wrongful conduct causes injury to another person, the injured party may sue for damages. Common torts include negligence, defamation, product liability, and intentional infliction of emotional distress. The purpose is to compensate victims and deter harmful behavior."
"law";"What is the presumption of innocence?";"The presumption of innocence is a fundamental legal principle stating that a person accused of a crime is considered innocent until proven guilty beyond a reasonable doubt. The burden of proof lies with the prosecution, not the defendant. This principle is a cornerstone of criminal justice systems in democratic societies and protects individuals from wrongful conviction."
"law";"What is arbitration?";"Arbitration is a form of alternative dispute resolution where parties agree to submit their dispute to one or more neutral arbitrators who make a binding decision. It is generally faster and less formal than court litigation. Arbitration is commonly used in commercial contracts, labor disputes, and consumer agreements. The decision, called an award, is usually final and enforceable."
"python_coding";"What is a list comprehension in Python?";"A list comprehension is a concise way to create lists in Python using a single line of code. The syntax is [expression for item in iterable if condition]. For example, [x**2 for x in range(10) if x % 2 == 0] creates a list of squares of even numbers from 0 to 9. It is generally more readable and faster than using a traditional for loop with append."
"python_coding";"What is the difference between a list and a tuple in Python?";"Lists are mutable sequences defined with square brackets [], meaning their elements can be changed after creation. Tuples are immutable sequences defined with parentheses (), meaning once created, their elements cannot be modified. Tuples are slightly more memory-efficient and faster than lists, and they can be used as dictionary keys because of their immutability."
"python_coding";"What does the `__init__` method do in a Python class?";"The __init__ method is a special method in Python classes that serves as the constructor. It is automatically called when a new instance of the class is created. It is used to initialize the object's attributes and set up its initial state. The first parameter is always self, which refers to the instance being created."
"python_coding";"What is a decorator in Python?";"A decorator is a function that takes another function as an argument and extends or modifies its behavior without permanently changing it. Decorators are applied using the @decorator_name syntax placed above a function definition. Common built-in decorators include @staticmethod, @classmethod, and @property. They are widely used in frameworks like Flask and Django."
"python_coding";"What is the Global Interpreter Lock (GIL) in Python?";"The Global Interpreter Lock (GIL) is a mutex in CPython that allows only one thread to execute Python bytecode at a time, even on multi-core processors. This simplifies memory management but limits true parallelism for CPU-bound tasks. The GIL does not affect I/O-bound tasks or multiprocessing. It is a CPython implementation detail, not a Python language feature."
"python_coding";"What are *args and **kwargs in Python?";"*args allows a function to accept any number of positional arguments as a tuple. **kwargs allows a function to accept any number of keyword arguments as a dictionary. They provide flexibility when you don't know in advance how many arguments will be passed. For example: def func(*args, **kwargs): handles both func(1, 2, 3) and func(name='Alice')."
"python_coding";"What is a generator in Python?";"A generator is a function that returns an iterator using the yield keyword instead of return. Each time yield is called, the function's state is saved and the yielded value is produced. Generators are memory-efficient because they generate values lazily, one at a time, rather than storing the entire sequence in memory. They are useful for working with large datasets."
"python_coding";"What is the difference between == and is in Python?";"The == operator checks if two objects have the same value (equality), while the is operator checks if two references point to the same object in memory (identity). For example, a = [1, 2] and b = [1, 2] gives a == b as True but a is b as False because they are separate objects with the same contents."
"python_coding";"What is a virtual environment in Python?";"A virtual environment is an isolated Python environment that allows you to install packages specific to a project without affecting the system-wide Python installation. Created using python -m venv or tools like virtualenv, it has its own Python binary and pip. This prevents dependency conflicts between projects that require different versions of the same package."
"python_coding";"What is pip in Python?";"Pip is the default package manager for Python, used to install, upgrade, and manage third-party packages from the Python Package Index (PyPI). Common commands include pip install package_name, pip uninstall package_name, and pip freeze to list installed packages. Pip resolves dependencies automatically and is included with Python 3.4 and later."
"python_coding";"What is a lambda function in Python?";"A lambda function is a small anonymous function defined using the lambda keyword. It can take any number of arguments but can only have one expression. The syntax is: lambda arguments: expression. For example, square = lambda x: x**2 creates a function that squares its input. Lambdas are often used with functions like map(), filter(), and sorted()."
"python_coding";"What is exception handling in Python?";"Exception handling in Python uses try/except blocks to catch and handle errors gracefully without crashing the program. The try block contains code that might raise an exception, and the except block handles it. You can also use else for code that runs if no exception occurred, and finally for cleanup code that always runs regardless of whether an exception was raised."
"python_coding";"What is the difference between append() and extend() for Python lists?";"The append() method adds a single element to the end of a list. The extend() method adds all elements from an iterable to the end of the list. For example, [1,2].append([3,4]) gives [1,2,[3,4]], while [1,2].extend([3,4]) gives [1,2,3,4]. The key difference is that append treats the argument as a single item, while extend iterates over it."
"python_coding";"What is a dictionary in Python?";"A dictionary in Python is an unordered collection of key-value pairs, defined using curly braces {}. Keys must be unique and hashable, while values can be any type. Dictionaries provide O(1) average-time complexity for lookups, insertions, and deletions. Since Python 3.7, dictionaries maintain insertion order as an implementation detail."
"python_coding";"What is the with statement in Python?";"The with statement in Python is used for resource management via context managers. It ensures that setup and cleanup actions are performed automatically, even if exceptions occur. The most common use is with file operations: with open('file.txt') as f: ensures the file is properly closed after the block executes. Custom context managers can be created using __enter__ and __exit__ methods."
"python_coding";"What is NumPy and why is it used?";"NumPy is a fundamental Python library for numerical computing. It provides support for large, multi-dimensional arrays and matrices, along with a collection of mathematical functions to operate on them efficiently. NumPy arrays are much faster than Python lists for numerical operations because they are stored in contiguous memory and operations are implemented in optimized C code."
"python_coding";"What is the difference between deepcopy and shallow copy?";"A shallow copy creates a new object but inserts references to the objects found in the original. A deep copy creates a new object and recursively copies all objects found in the original. With shallow copy, changes to nested objects affect both copies. With deep copy, the copies are completely independent. Python provides these via the copy module: copy.copy() and copy.deepcopy()."
"python_coding";"What is a Python module?";"A Python module is a file containing Python code—functions, classes, and variables—that can be imported and used in other Python programs. Modules help organize code into reusable components. You import them using the import statement. Python's standard library includes many modules like os, sys, and math. You can also create your own modules by saving Python code in .py files."
"python_coding";"What is asyncio in Python?";"Asyncio is a Python library for writing concurrent code using the async/await syntax. It provides an event loop that manages and distributes tasks, allowing I/O-bound operations to run concurrently without threads. Functions defined with async def are coroutines, and await is used to pause execution until a result is available. It is particularly useful for network programming and API calls."
"python_coding";"What is type hinting in Python?";"Type hints in Python are optional annotations that indicate the expected types of variables, function parameters, and return values. Introduced in Python 3.5 via PEP 484, they use the syntax def func(x: int) -> str:. Type hints don't enforce types at runtime but are used by static analysis tools like mypy to catch type errors before execution. They improve code readability and maintainability."
"python_coding";"What is the difference between a set and a list in Python?";"A set is an unordered collection of unique elements, defined with curly braces {} or set(). A list is an ordered collection that allows duplicates, defined with square brackets []. Sets provide O(1) average lookup time, while list lookups are O(n). Sets support mathematical operations like union, intersection, and difference. Lists support indexing and slicing."
"python_coding";"What is pandas in Python?";"Pandas is a Python library for data manipulation and analysis. It provides two main data structures: Series (one-dimensional) and DataFrame (two-dimensional, tabular). Pandas excels at handling structured data, offering powerful tools for reading CSV and Excel files, filtering, grouping, merging, reshaping, and handling missing data. It is built on top of NumPy."
"python_coding";"What is the __name__ == '__main__' pattern in Python?";"The if __name__ == '__main__': pattern allows a Python file to act both as a reusable module and as a standalone script. When a file is run directly, __name__ is set to '__main__', so the code inside the if block executes. When the file is imported as a module, __name__ is set to the module's name, so the if block is skipped. This is a common Python idiom."
"python_coding";"What is a context manager in Python?";"A context manager is an object that defines the methods __enter__ and __exit__ to set up and tear down resources used in a with statement. The __enter__ method runs when entering the with block, and __exit__ runs when leaving it, even if an exception occurs. Python also provides the contextlib module with utilities like @contextmanager decorator to create context managers from generator functions."
"python_coding";"What is monkey patching in Python?";"Monkey patching is the practice of dynamically modifying or extending modules, classes, or functions at runtime. For example, you can replace a method on an existing class by assigning a new function to it. While it can be useful for testing, debugging, or quick fixes, monkey patching is generally considered risky because it makes code harder to understand and can introduce subtle bugs."
"python_coding";"What is the difference between @staticmethod and @classmethod?";"A @staticmethod doesn't receive any implicit first argument—it's just a regular function that lives inside a class namespace. A @classmethod receives the class itself as the first argument (conventionally called cls), allowing it to access or modify class-level state. Use @staticmethod for utility functions that don't need access to the class, and @classmethod for factory methods or methods that need to work with class attributes."
"python_coding";"What is pickling in Python?";"Pickling is Python's built-in mechanism for serializing and deserializing objects—converting them to a byte stream and back. The pickle module can serialize most Python objects, including custom classes. You use pickle.dump() to write to a file and pickle.load() to read back. Pickling is useful for caching, saving state, and inter-process communication, but it has security risks with untrusted data."
"python_coding";"What is the difference between a process and a thread in Python?";"A process is an independent program execution with its own memory space, while a thread is a lightweight unit of execution within a process that shares memory with other threads. Python's threading module is limited by the GIL for CPU-bound tasks, while the multiprocessing module creates separate processes that bypass the GIL. Threads are better for I/O-bound tasks, processes for CPU-bound tasks."
"python_coding";"What is a dataclass in Python?";"A dataclass, introduced in Python 3.7 via the @dataclass decorator, automatically generates special methods like __init__, __repr__, __eq__, and __hash__ for classes that primarily store data. It reduces boilerplate code by using type annotations to define fields. You can customize behavior with parameters like frozen=True for immutability or order=True for comparison methods."
"python_coding";"What is Flask?";"Flask is a lightweight Python web framework designed for building web applications and APIs. It follows a minimalist philosophy, providing core features like URL routing, request handling, and template rendering while leaving other choices to the developer. It uses Jinja2 for templating and Werkzeug for WSGI utilities. Flask is popular for microservices and small to medium applications."
"python_coding";"What is the difference between range() and xrange() in Python?";"In Python 2, range() returned a list while xrange() returned an iterator that generated values on demand, making it more memory-efficient for large sequences. In Python 3, range() behaves like Python 2's xrange(), returning a range object that generates values lazily. xrange() was removed in Python 3 since range() already provides the efficient behavior."
"python_coding";"What is the map() function in Python?";"The map() function applies a given function to each item of an iterable and returns a map object (iterator) of the results. The syntax is map(function, iterable). For example, map(str, [1, 2, 3]) converts each integer to a string. In Python 3, map() returns an iterator rather than a list, so you may need to wrap it with list() to get a list."
"python_coding";"What is the walrus operator in Python?";"The walrus operator (:=), introduced in Python 3.8 via PEP 572, allows you to assign a value to a variable as part of an expression. For example, if (n := len(data)) > 10: assigns the length to n and checks the condition in one step. It is useful in while loops, list comprehensions, and conditional expressions where you need both the value and a condition check."
"python_coding";"What is the GIL-free mode in Python 3.13?";"Python 3.13 introduced an experimental free-threaded mode (also called no-GIL mode) that disables the Global Interpreter Lock, allowing true parallel execution of threads on multiple CPU cores. This is enabled via the --disable-gil flag or by installing the free-threaded build (python3.13t). It aims to improve performance for CPU-bound multithreaded programs while maintaining backward compatibility."
"python_coding";"What is the match statement in Python?";"The match statement, introduced in Python 3.10, provides structural pattern matching similar to switch/case in other languages but more powerful. It can match literal values, sequences, mappings, class instances, and even nested patterns with guards. The syntax uses match/case keywords. For example, match command: case 'quit': exit() case ['go', direction]: move(direction)."
"python_coding";"What is the purpose of __slots__ in Python?";"__slots__ is a class variable that restricts instance attributes to a fixed set, preventing the creation of __dict__ for each instance. This reduces memory usage significantly when creating many instances. Define it as __slots__ = ['attr1', 'attr2']. Instances can only have the listed attributes. It also provides slightly faster attribute access but prevents dynamic attribute assignment."
"python_coding";"What is the difference between yield and return in Python?";"The return statement exits a function and sends a value back to the caller, terminating the function's execution. The yield statement pauses the function, saves its state, and produces a value to the caller. The function can be resumed later from where it left off. Functions with yield become generators, producing a sequence of values lazily over multiple calls via next()."
"python_coding";"What is the purpose of the collections module?";"The collections module provides specialized container data types beyond the built-in dict, list, set, and tuple. Key classes include Counter for counting elements, defaultdict for dictionaries with default values, OrderedDict for ordered dictionaries, deque for double-ended queues, and namedtuple for lightweight object creation with named fields. These are optimized for specific use cases."
"python_coding";"What is the abc module in Python?";"The abc (Abstract Base Classes) module provides tools for defining abstract base classes. Using the ABC class and @abstractmethod decorator, you can create classes that cannot be instantiated directly and require subclasses to implement specific methods. This enforces interface contracts and is useful for defining APIs that multiple implementations must follow."
"python_coding";"What is f-string formatting in Python?";"F-strings, introduced in Python 3.6, are string literals prefixed with f that allow embedding expressions inside curly braces {}. For example, f'Hello, {name}!' or f'Result: {2+3}'. They support format specifications like f'{value:.2f}' for two decimal places. F-strings are evaluated at runtime and are faster and more readable than older formatting methods like % or .format()."
"python_coding";"What is the purpose of requirements.txt?";"A requirements.txt file lists all Python package dependencies for a project, one per line, optionally with version constraints. It is used with pip install -r requirements.txt to install all dependencies. The format supports exact versions (package==1.0), minimum versions (package>=1.0), and version ranges. It is a standard way to make Python project environments reproducible."
"python_coding";"What is the enumerate() function?";"The enumerate() function adds a counter to an iterable and returns an enumerate object. It is commonly used in for loops when you need both the index and value: for i, val in enumerate(my_list):. You can specify a start value: enumerate(my_list, start=1). It is more Pythonic than manually maintaining a counter variable."
"python_coding";"What is the zip() function in Python?";"The zip() function takes two or more iterables and returns an iterator of tuples, where each tuple contains the corresponding elements from each iterable. For example, zip([1,2,3], ['a','b','c']) yields [(1,'a'), (2,'b'), (3,'c')]. It stops at the shortest iterable. In Python 3.10+, zip(strict=True) raises an error if iterables have different lengths."
"python_coding";"What is pytest?";"Pytest is a popular Python testing framework that makes it easy to write simple and scalable tests. It uses plain assert statements instead of special assertion methods, supports fixtures for test setup and teardown, and has powerful features like parameterized testing and plugin support. Tests are discovered automatically by naming files test_*.py and functions test_*."
"python_coding";"What is the pathlib module in Python?";"The pathlib module, introduced in Python 3.4, provides object-oriented filesystem path manipulation. It replaces many os.path functions with a more intuitive API. Path objects support operations like path / 'subdir' for joining, path.exists(), path.read_text(), and path.glob('*.py'). It handles cross-platform path differences automatically and is now the recommended way to work with file paths."
"python_coding";"What is the difference between sort() and sorted() in Python?";"The sort() method sorts a list in-place and returns None, modifying the original list. The sorted() function returns a new sorted list without modifying the original. Both accept key and reverse parameters. sort() is a list method and only works on lists, while sorted() is a built-in function that works on any iterable. Use sorted() when you need to preserve the original order."
"python_coding";"What is a property in Python?";"A property in Python allows you to define methods that can be accessed like attributes, using the @property decorator. It provides getter, setter, and deleter functionality, enabling controlled access to instance attributes. For example, @property def name(self): return self._name defines a getter, and @name.setter def name(self, value): self._name = value defines a setter."
"typescript_coding";"What is TypeScript and how does it differ from JavaScript?";"TypeScript is a statically typed superset of JavaScript developed by Microsoft. It adds optional type annotations, interfaces, enums, generics, and other features to JavaScript. TypeScript code is transpiled to plain JavaScript for execution. It catches type errors at compile time rather than runtime, improving code reliability and developer productivity, especially in large codebases."
"typescript_coding";"What is an interface in TypeScript?";"An interface in TypeScript defines the shape of an object by specifying the types of its properties and methods. It is a compile-time construct used for type checking and does not generate any JavaScript code. Interfaces support optional properties (?), readonly properties, and can be extended by other interfaces. They are commonly used to define contracts for function parameters and API responses."
"typescript_coding";"What are generics in TypeScript?";"Generics allow you to create reusable components that work with multiple types while maintaining type safety. They use type parameters, typically denoted with angle brackets like <T>. For example, function identity<T>(arg: T): T { return arg; } works with any type. Generics are widely used in collections, Promise types, and utility types like Partial<T> and Record<K,V>."
"typescript_coding";"What is the difference between type and interface in TypeScript?";"Both type and interface can define object shapes, but they have differences. Interfaces can be extended and merged (declaration merging), while types use intersections (&) for combination. Types can define unions, tuples, and mapped types that interfaces cannot. Interfaces are generally preferred for object shapes and public APIs, while types are better for complex type operations and unions."
"typescript_coding";"What is a union type in TypeScript?";"A union type allows a variable to hold values of multiple types, defined using the pipe operator |. For example, let value: string | number means value can be a string or a number. TypeScript requires type narrowing (using typeof, instanceof, or discriminated unions) before accessing type-specific properties. Union types are fundamental for handling values that can be one of several types."
"typescript_coding";"What are utility types in TypeScript?";"Utility types are built-in generic types that transform existing types. Common examples include Partial<T> (makes all properties optional), Required<T> (makes all required), Readonly<T> (makes all readonly), Pick<T,K> (selects specific properties), Omit<T,K> (removes specific properties), and Record<K,V> (creates a type with keys K and values V). They reduce boilerplate in type definitions."
"typescript_coding";"What is the any type in TypeScript?";"The any type in TypeScript disables type checking for a variable, allowing it to hold any value without compiler errors. While it provides flexibility, overusing any defeats the purpose of TypeScript's type system. It is often used when migrating JavaScript code to TypeScript or when the type is truly unknown. The unknown type is a safer alternative that still requires type narrowing."
"typescript_coding";"What is a type guard in TypeScript?";"A type guard is an expression that narrows the type of a variable within a conditional block. Common type guards include typeof checks (typeof x === 'string'), instanceof checks, and custom type predicates (function isString(x: any): x is string). After a type guard, TypeScript knows the specific type and provides appropriate IntelliSense and type safety within that scope."
"typescript_coding";"What is the never type in TypeScript?";"The never type represents values that never occur. It is the return type of functions that always throw exceptions or have infinite loops. It is also used in exhaustive type checking with discriminated unions—if all cases are handled, the remaining case should be of type never. Assigning a value to a never type causes a compile error, which helps catch missed cases."
"typescript_coding";"What are decorators in TypeScript?";"Decorators are special declarations that can be attached to classes, methods, properties, and parameters to modify their behavior. They use the @ syntax (e.g., @Component) and are functions that receive metadata about the decorated element. Decorators are widely used in frameworks like Angular and NestJS. TypeScript 5.0+ supports the TC39 Stage 3 decorator proposal natively."
"typescript_coding";"What is the difference between null and undefined in TypeScript?";"In TypeScript, undefined means a variable has been declared but not assigned a value, while null represents an intentional absence of a value. With strict null checks enabled (strictNullChecks), neither can be assigned to other types without explicit union types. TypeScript treats them as distinct types: undefined is type undefined and null is type null."
"typescript_coding";"What is a mapped type in TypeScript?";"A mapped type creates a new type by transforming each property of an existing type. The syntax uses the in keyof pattern: type ReadonlyType<T> = { readonly [K in keyof T]: T[K] }. This iterates over all keys of T and applies the readonly modifier. Built-in utility types like Partial, Required, and Readonly are implemented as mapped types. They are powerful for creating type variations programmatically."
"typescript_coding";"What is type narrowing in TypeScript?";"Type narrowing is the process of refining a broad type to a more specific one within a code block using control flow analysis. TypeScript narrows types based on typeof checks, instanceof checks, equality checks, in operator, and custom type predicates. For example, after if (typeof x === 'string'), TypeScript knows x is a string inside the block and provides string-specific methods."
"typescript_coding";"What is the readonly modifier in TypeScript?";"The readonly modifier prevents a property from being reassigned after initialization. It can be applied to class properties, interface properties, and array types (ReadonlyArray<T> or readonly T[]). readonly properties can only be set in the constructor or at declaration. It provides compile-time immutability—the JavaScript output has no runtime enforcement."
"typescript_coding";"What is a discriminated union in TypeScript?";"A discriminated union is a pattern where multiple types share a common literal property (the discriminant) that TypeScript uses to narrow the type. For example: type Shape = { kind: 'circle'; radius: number } | { kind: 'square'; side: number }. In a switch on shape.kind, TypeScript knows the exact type in each case. This pattern enables type-safe handling of different variants."
"typescript_coding";"What is the unknown type in TypeScript?";"The unknown type is a type-safe counterpart to any. Like any, it can hold any value, but unlike any, you cannot perform operations on an unknown value without first narrowing its type through type guards. This forces developers to verify the type before using the value, preventing accidental type errors. It is the recommended type for values whose type is not known at compile time."
"typescript_coding";"What is declaration merging in TypeScript?";"Declaration merging is a TypeScript feature where the compiler combines multiple declarations with the same name into a single definition. This is most commonly used with interfaces: if you declare the same interface name twice, their members are merged. It also works with namespaces and certain module augmentations. This feature is useful for extending third-party type definitions."
"typescript_coding";"What are conditional types in TypeScript?";"Conditional types select one of two types based on a condition, using the syntax T extends U ? X : Y. If T is assignable to U, the type resolves to X; otherwise Y. They enable powerful type-level programming. For example, type IsString<T> = T extends string ? true : false. Combined with infer, they can extract types from complex structures. Built-in types like ReturnType<T> use conditional types internally."
"general";"What is the Internet of Things (IoT)?";"The Internet of Things refers to the network of physical devices embedded with sensors, software, and connectivity that enables them to collect and exchange data. Examples include smart thermostats, wearable fitness trackers, and industrial sensors. IoT enables automation, remote monitoring, and data-driven decision-making across industries from healthcare to agriculture."
"general";"What is blockchain technology?";"Blockchain is a distributed digital ledger technology that records transactions across many computers in a way that makes the records difficult to alter retroactively. Each block contains a cryptographic hash of the previous block, a timestamp, and transaction data. This chain of blocks creates a transparent, tamper-resistant record. It underpins cryptocurrencies like Bitcoin and has applications in supply chain, voting, and contracts."
"general";"What is machine learning?";"Machine learning is a subset of artificial intelligence where algorithms learn patterns from data to make predictions or decisions without being explicitly programmed. It encompasses supervised learning (labeled data), unsupervised learning (finding hidden patterns), and reinforcement learning (learning through rewards). Common applications include recommendation systems, image recognition, and natural language processing."
"general";"What is cloud computing?";"Cloud computing is the delivery of computing services—including servers, storage, databases, networking, software, and analytics—over the internet. Instead of owning physical infrastructure, organizations rent resources from cloud providers like AWS, Azure, and Google Cloud. Benefits include scalability, cost efficiency, and global accessibility. Models include IaaS, PaaS, and SaaS."
"general";"What is an API?";"An API (Application Programming Interface) is a set of rules and protocols that allows different software applications to communicate with each other. It defines the methods and data formats for requesting and exchanging information. APIs can be RESTful (using HTTP methods), GraphQL, or SOAP-based. They enable integration between services, such as payment processing or social media authentication."
"general";"What is cybersecurity?";"Cybersecurity is the practice of protecting computer systems, networks, and data from unauthorized access, theft, and damage. It encompasses areas including network security, application security, endpoint protection, encryption, access control, and incident response. Common threats include malware, phishing, ransomware, and denial-of-service attacks."
"general";"What is 5G technology?";"5G is the fifth generation of cellular network technology, offering significantly faster data speeds, lower latency, and greater capacity than 4G LTE. It operates on three frequency bands: low-band for wide coverage, mid-band for balanced speed and coverage, and high-band (millimeter wave) for extremely fast speeds over short distances. 5G enables applications like autonomous vehicles, remote surgery, and massive IoT deployments."
"general";"What is CRISPR?";"CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) is a revolutionary gene-editing technology that allows scientists to precisely modify DNA sequences in living organisms. Using the Cas9 enzyme as molecular scissors guided by an RNA template, CRISPR can cut, delete, or insert specific genetic sequences. It has applications in treating genetic diseases, agriculture, and biological research."
